StockCode,Description,TotalSales,Total_Quantity,Unique_Customers,Total_Transactions,Avg_Price
16012,FOOD/DRINK SPONGE STICKERS,256.2,1220,33,35,0.21
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,34,54,0.32531212484994
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,19,24,0.43803625377643507
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,41,65,0.8275333857030637
16020C,CLEAR STATIONERY BOX SET ,5.1,6,1,2,0.85
16033,MINI HIGHLIGHTER PENS,100.79999999999998,840,4,4,0.11999999999999998
16043,POP ART PUSH DOWN RUBBER ,11.759999999999998,98,2,2,0.11999999999999998
16045,POPART WOODEN PENCILS ASST,380.0,8900,61,68,0.04269662921348315
16046,TEATIME PEN CASE & PENS,54.4,64,13,13,0.85
16048,TEATIME ROUND PENCIL SHARPENER ,186.72,1436,41,47,0.13002785515320334
16049,TEATIME GEL PENS ASST,82.08,504,5,5,0.16285714285714287
16052,TEATIME PUSH DOWN RUBBER,105.28999999999999,467,5,6,0.22546038543897215
16054,POPART RECT PENCIL SHARPENER ASST,140.52,1166,29,33,0.1205145797598628
16151A,FLOWERS HANDBAG blue and orange,61.25,49,3,3,1.25
16156L,WRAP CAROUSEL,157.5,375,13,14,0.42
16156L,"WRAP, CAROUSEL",42.0,100,4,4,0.42
16156S,WRAP PINK FAIRY CAKES ,2331.0,5800,135,167,0.4018965517241379
16161G,WRAP BAD HAIR DAY,70.0,700,22,22,0.1
16161M,WRAP  PINK FLOCK,10.5,25,1,1,0.42
16161P,WRAP ENGLISH ROSE ,2980.42,7201,189,248,0.4138897375364533
16161U,WRAP SUKI AND FRIENDS,1687.5,4075,105,134,0.41411042944785276
16162L,THE KING GIFT BAG,11.05,17,5,6,0.65
16162M,THE KING GIFT BAG 25x24x12cm,10.92,26,6,7,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,138.18,329,19,20,0.42000000000000004
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,143,149,0.4147403024326101
16169K,WRAP FOLK ART,84.0,200,8,8,0.42
16169M,WRAP DAISY CARPET ,277.2,660,24,25,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,25,1,1,0.42
16169P,WRAP GREEN RUSSIAN FOLKART ,21.0,50,2,2,0.42
16202A,PASTEL PINK PHOTO ALBUM ,3.5,7,2,2,0.5
16202B,PASTEL BLUE PHOTO ALBUM ,14.5,29,2,2,0.5
16202E,BLACK PHOTO ALBUM ,7.5,15,3,3,0.5
16206B,RED PURSE WITH PINK HEART,8.75,7,2,2,1.25
16207A,PINK STRAWBERRY HANDBAG ,38.35000000000001,13,4,5,2.9500000000000006
16207B,PINK HEART RED HANDBAG,11.31,4,3,3,2.8275
16216,LETTER SHAPE PENCIL SHARPENER,227.14,3316,38,41,0.06849819059107358
16218,CARTOON  PENCIL SHARPENERS,253.2,3760,43,50,0.0673404255319149
16219,HOUSE SHAPE PENCIL SHARPENER,309.9,2915,41,47,0.10631217838765007
16225,RATTLE SNAKE EGGS,596.84,760,57,75,0.7853157894736843
16235,RECYCLED PENCIL WITH RABBIT ERASER,518.1899999999999,2629,68,80,0.19710536325599085
16236,KITTY PENCIL ERASERS,266.56,1296,59,73,0.205679012345679
16237,SLEEPING CAT ERASERS,885.45,4595,109,162,0.19269858541893364
16238,PARTY TIME PENCIL ERASERS,265.09,1259,61,78,0.2105559968228753
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,2,2,1.1214285714285714
16248B,BLUE HOLE PUNCH,16.25,13,7,7,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,27.91,31,7,9,0.9003225806451612
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,156.53,445,29,38,0.35175280898876404
16259,PIECE OF CAMO STATIONERY SET,326.56,3380,28,31,0.09661538461538462
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,72,1,1,0.29
17003,BROCADE RING PURSE ,5969.61,22927,136,206,0.2603746674226894
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.400000000000006,24,2,2,2.1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,62.150000000000006,80,6,6,0.7768750000000001
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,244.89999999999998,270,21,24,0.907037037037037
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,422.54999999999995,455,33,36,0.9286813186813185
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,341.79999999999995,362,37,43,0.9441988950276242
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,362.95,385,35,44,0.9427272727272727
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,40.05,35,3,3,1.1442857142857141
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,329.05,365,33,42,0.9015068493150685
17013D,ORIGAMI ROSE INCENSE IN TUBE,257.88,532,10,11,0.48473684210526313
17014A,ORIGAMI VANILLA INCENSE CONES,67.83,154,7,7,0.44045454545454543
17021,NAMASTE SWAGAT INCENSE,632.34,2391,30,47,0.2644667503136763
17028J,INCENSE BAZAAR PEACH,2.52,6,1,1,0.42
17038,PORCELAIN BUDAH INCENSE HOLDER,138.1,1501,18,19,0.09200532978014657
17084A,TRANQUILITY MASALA INCENSE,42.0,200,7,7,0.21
17084J,LOVE POTION MASALA INCENSE,47.25,225,8,8,0.21
17084N,FAIRY DREAMS INCENSE ,212.75,1025,25,32,0.2075609756097561
17084P,DRAGONS BLOOD INCENSE,73.29,349,12,13,0.21000000000000002
17084R,ASSORTED INCENSE PACK,760.3199999999999,4032,16,27,0.18857142857142856
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.44999999999999,109,9,10,0.9857798165137613
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,29,6,12,1.25
17091A,LAVENDER INCENSE IN TIN,98.91,171,19,25,0.578421052631579
17091J,VANILLA INCENSE IN TIN,876.34,2066,66,87,0.42417231364956437
17096,ASSORTED LAQUERED INCENSE HOLDERS,443.76000000000005,2516,12,13,0.17637519872813992
17107D,FLOWER FAIRY 5 DRAWER LINERS,150.45,59,18,20,2.55
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,15.299999999999999,6,1,1,2.55
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",267.75,105,24,25,2.55
17109D,FLOWER FAIRY INCENSE BOUQUET,32.349999999999994,61,4,5,0.530327868852459
17129F,BLUE GLASS GEMS IN BAG,291.25,427,11,19,0.6820843091334895
17136A,BLUE STONES ON WIRE FOR CANDLE,29.59,352,16,17,0.0840625
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,9,9,0.42
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,6,7,1.05
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,3,3,0.42000000000000004
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15.0,4,1,2,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,383.76,5856,15,17,0.0655327868852459
18094C,WHITE AND BLUE CERAMIC OIL BURNER,153.1,134,13,15,1.1425373134328358
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,12.75,5,4,4,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1461.15,669,43,52,2.1840807174887895
18098C,PORCELAIN BUTTERFLY OIL BURNER,540.5500000000001,193,24,36,2.800777202072539
20615,BLUE POLKADOT PASSPORT COVER,233.34,231,28,35,1.0101298701298702
20616,CHERRY BLOSSOM PASSPORT COVER,122.78,134,19,25,0.9162686567164179
20617,FIRST CLASS PASSPORT COVER ,137.74,66,20,26,2.086969696969697
20618,QUEEN OF THE SKIES PASSPORT COVER ,137.88000000000002,68,20,28,2.0276470588235296
20619,TROPICAL PASSPORT COVER ,206.23000000000002,142,16,22,1.452323943661972
20622,VIP PASSPORT COVER ,73.5,35,8,11,2.1
20622,VIPPASSPORT COVER ,164.58,127,18,21,1.2959055118110236
20652,BLUE POLKADOT LUGGAGE TAG ,191.01,147,26,33,1.2993877551020407
20653,CHERRY BLOSSOM LUGGAGE TAG,43.67,33,5,6,1.3233333333333335
20654,FIRST CLASS LUGGAGE TAG ,126.69,105,21,23,1.2065714285714286
20655,QUEEN OF SKIES LUGGAGE TAG,109.11,89,20,34,1.2259550561797752
20657,TROPICAL LUGGAGE TAG,76.39,61,20,22,1.2522950819672132
20658,RED RETROSPOT LUGGAGE TAG,408.75,327,44,59,1.25
20659,ECONOMY LUGGAGE TAG,139.56,94,18,29,1.4846808510638299
20661,BLUE POLKADOT PURSE ,35.07,9,3,5,3.8966666666666665
20662,FIRST CLASS HOLIDAY PURSE ,40.97,11,4,5,3.7245454545454546
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,11.690000000000001,3,3,3,3.896666666666667
20664,TROPICAL HOLIDAY PURSE ,17.700000000000003,6,3,3,2.9500000000000006
20665,RED RETROSPOT PURSE ,998.2000000000002,340,58,73,2.935882352941177
20666,ECONOMY HOLIDAY PURSE,11.8,4,4,4,2.95
20667,CHERRY BLOSSOM PURSE,2.95,1,1,1,2.95
20668,DISCO BALL CHRISTMAS DECORATION,1397.04,12618,111,181,0.11071802187351402
20669,RED HEART LUGGAGE TAG,243.75,195,36,42,1.25
20670,VIP HOLIDAY PURSE,29.28,8,5,6,3.66
20671,BLUE TEATIME PRINT BOWL ,12.5,10,2,2,1.25
20674,GREEN POLKADOT BOWL,1632.81,1360,101,149,1.200595588235294
20675,BLUE POLKADOT BOWL,3178.65,2728,149,223,1.1651942815249268
20676,RED RETROSPOT BOWL,4980.7300000000005,4310,185,298,1.1556218097447797
20677,PINK POLKADOT BOWL,3640.0800000000004,3157,133,220,1.1530186886284448
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1,1,1.65
20679,EDWARDIAN PARASOL RED,9055.87,1630,141,270,5.555748466257669
20681,PINK POLKADOT CHILDRENS UMBRELLA,406.25,125,29,33,3.25
20682,RED RETROSPOT CHILDRENS UMBRELLA,3629.66,1140,138,182,3.183912280701754
20684,STRAWBERRY DREAM CHILDS UMBRELLA,250.25,77,30,32,3.25
20685,DOORMAT RED RETROSPOT,25364.85,3897,329,576,6.508814472671285
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,822.38,252,51,64,3.2634126984126985
20694,FLORAL PINK MONSTER,135.0,36,9,10,3.75
20695,FLORAL BLUE MONSTER,21.25,5,4,4,4.25
20696,FLORAL SOFT CAR TOY,120.0,32,10,10,3.75
20697,LITTLE GREEN MONSTER SOFT TOY,43.349999999999994,17,8,9,2.55
20698,LITTLE PINK MONSTER SOFT TOY,40.8,16,7,7,2.55
20699,MOUSEY LONG LEGS SOFT TOY,73.94999999999999,29,11,11,2.55
20700,GREEN CAT FLORAL CUSHION COVER ,37.5,10,4,4,3.75
20701,PINK CAT FLORAL CUSHION COVER ,22.5,6,3,3,3.75
20702,PINK PADDED MOBILE,539.75,127,31,40,4.25
20703,BLUE PADDED SOFT MOBILE,4.25,1,1,1,4.25
20704,MR ROBOT SOFT TOY,626.45,211,38,39,2.9689573459715644
20705,MRS ROBOT SOFT TOY,428.85,143,27,28,2.998951048951049
20707,CRAZY DAISY HEART DECORATION,195.52,155,20,31,1.2614193548387098
20711,JUMBO BAG TOYS ,7689.28,4198,152,245,1.8316531681753214
20712,JUMBO BAG WOODLAND ANIMALS,15511.6,8187,248,492,1.8946622694515696
20713,JUMBO BAG OWLS,19047.02,10451,207,411,1.8225069371352025
20716,PARTY FOOD SHOPPER BAG,373.5,314,31,34,1.1894904458598725
20717,STRAWBERRY SHOPPER BAG,2453.38,2034,150,231,1.2061848574237954
20718,RED RETROSPOT SHOPPER BAG,5106.56,4257,236,384,1.1995677707305614
20719,WOODLAND CHARLOTTE BAG,7261.94,9219,238,531,0.787714502657555
20723,STRAWBERRY CHARLOTTE BAG,5516.7,6842,230,492,0.8062993276819643
20724,RED RETROSPOT CHARLOTTE BAG,10122.45,12805,335,739,0.790507614213198
20725,LUNCH BAG RED RETROSPOT,27868.8,17576,532,1288,1.5856167501137914
20725,LUNCH BAG RED SPOTTY,290.0,200,1,1,1.45
20726,LUNCH BAG WOODLAND,14497.51,9091,372,820,1.594710152898471
20727,LUNCH BAG  BLACK SKULL.,17950.3,11246,458,1052,1.5961497421305353
20728,LUNCH BAG CARS BLUE,17214.53,10789,479,966,1.5955630735007877
20731,POSY CANDY BAG,92.5,74,8,8,1.25
20733,GOLD MINI TAPE MEASURE ,687.2,916,30,46,0.7502183406113537
20735,BLACK MINI TAPE MEASURE ,121.3,158,11,30,0.7677215189873418
20748,KENSINGTON COFFEE SET,675.75,53,26,30,12.75
20749,ASSORTED COLOUR MINI CASES,12107.51,1717,239,365,7.051549213744904
20750,RED RETROSPOT MINI CASES,12208.85,1711,235,365,7.135505552308592
20751,FUNKY WASHING UP GLOVES ASSORTED,1917.0600000000002,941,127,171,2.037258235919235
20752,BLUE POLKADOT WASHING UP GLOVES,756.0000000000001,360,91,115,2.1000000000000005
20754,RETROSPOT RED WASHING UP GLOVES,2668.38,1355,153,239,1.9692841328413284
20755,BLUE PAISLEY POCKET BOOK,247.35,291,44,50,0.85
20756,GREEN FERN POCKET BOOK,53.55,63,20,22,0.85
20757,RED DAISY POCKET BOOK ,132.53,155,30,30,0.8550322580645161
20758,ABSTRACT CIRCLES POCKET BOOK,134.29999999999998,158,35,41,0.8499999999999999
20759,CHRYSANTHEMUM POCKET BOOK ,54.4,64,17,20,0.85
20760,GARDEN PATH POCKET BOOK,58.65,69,18,21,0.85
20761,BLUE PAISLEY SKETCHBOOK,408.67,107,46,52,3.8193457943925235
20762,GREEN FERN SKETCHBOOK ,382.46,101,42,51,3.7867326732673265
20763,DAISY SKETCHBOOK ,189.96,71,24,25,2.6754929577464788
20764,ABSTRACT CIRCLES SKETCHBOOK ,483.63,126,45,60,3.8383333333333334
20765,CHRYSANTHEMUM SKETCHBOOK ,367.34,94,45,51,3.9078723404255316
20766,GARDEN PATH SKETCHBOOK,414.58,111,41,47,3.7349549549549548
20767,BLUE PAISLEY JOURNAL ,534.3199999999999,214,50,58,2.496822429906542
20768,GREEN FERN JOURNAL ,317.71,130,31,36,2.4439230769230766
20769,DAISY JOURNAL ,173.11999999999998,66,21,26,2.6230303030303026
20770,ABSTRACT CIRCLE JOURNAL ,256.65,107,24,28,2.3985981308411213
20771,CHRYSANTHEMUM  JOURNAL,180.91,70,21,27,2.5844285714285715
20772,GARDEN PATH JOURNAL,534.46,218,40,46,2.4516513761467893
20773,BLUE PAISLEY NOTEBOOK,92.39999999999999,56,21,23,1.65
20774,GREEN FERN NOTEBOOK,85.8,52,21,22,1.65
20775,DAISY NOTEBOOK ,103.94999999999999,63,19,20,1.65
20777,CHRYSANTHEMUM NOTEBOOK,156.75,95,32,36,1.65
20778,GARDEN PATH NOTEBOOK ,24.75,15,8,8,1.65
20780,BLACK EAR MUFF HEADPHONES,192.86,36,13,17,5.357222222222223
20781,GOLD EAR MUFF HEADPHONES,152.13,29,19,20,5.245862068965517
20782,CAMOUFLAGE EAR MUFF HEADPHONES,215.87,39,12,17,5.535128205128205
20785,FUSCHIA RETRO BAR STOOL,523.3000000000001,14,4,5,37.37857142857143
20793,BLUE TILED TRAY,54.0,8,4,4,6.75
20794,BLUE  TILE HOOK,213.14999999999998,85,15,15,2.507647058823529
20795,LARGE BLUE PROVENCAL CERAMIC BALL,92.4,44,6,8,2.1
20796,SMALL BLUE PROVENCAL CERAMIC BALL,100.64999999999999,61,8,8,1.65
20798,CLEAR MILKSHAKE GLASS,75.60000000000001,36,5,5,2.1
20801,LARGE PINK GLASS SUNDAE DISH,708.16,848,47,54,0.8350943396226415
20802,SMALL GLASS SUNDAE DISH CLEAR,730.4399999999999,648,40,44,1.1272222222222221
20803,SMALL PINK GLASS SUNDAE DISH,383.91,911,26,31,0.42141602634467623
20816,GOLD FLOWER CUSHION COVER ,15.6,8,1,2,1.95
20818,GOLD TEDDY BEAR,20.0,12,2,2,1.6666666666666667
20819,SILVER TEDDY BEAR,183.71,48,14,16,3.827291666666667
20820,SILVER LOOKING MIRROR,24.75,5,2,2,4.95
20821,GOLDIE LOOKING MIRROR,79.2,16,5,5,4.95
20823,GOLD WINE GOBLET,126.4,160,6,7,0.79
20826,SILVER APERITIF GLASS,128.4,276,7,8,0.46521739130434786
20827,GOLD APERITIF GLASS,34.32,88,1,2,0.39
20828,GLITTER BUTTERFLY CLIPS,2489.1,1010,116,177,2.464455445544554
20829,GLITTER HANGING BUTTERFLY STRING,2528.3900000000003,1264,90,163,2.0003085443037976
20830,SILVER PHOTO FRAME,157.5,75,19,20,2.1
20831,GOLD PHOTO FRAME,272.34000000000003,169,19,24,1.6114792899408286
20832,RED FLOCK LOVE HEART PHOTO FRAME,517.68,1010,47,55,0.5125544554455445
20835,FRENCH LATTICE CUSHION COVER ,54.779999999999994,66,7,7,0.83
20836,FRENCH PAISLEY CUSHION COVER,141.1,170,14,17,0.83
20837,FRENCH FLORAL CUSHION COVER ,142.47,141,14,15,1.0104255319148936
20838,FRENCH LATTICE CUSHION COVER ,282.94,330,30,33,0.8573939393939394
20839,FRENCH PAISLEY CUSHION COVER ,411.84,452,44,49,0.911150442477876
20840,FRENCH FLORAL CUSHION COVER ,399.28,464,35,43,0.8605172413793103
20845,ZINC HEART LATTICE 2 WALL PLANTER,120.64999999999999,19,7,11,6.35
20846,ZINC HEART LATTICE T-LIGHT HOLDER,784.22,646,50,62,1.2139628482972136
20847,ZINC HEART LATTICE CHARGER LARGE,172.5,46,12,14,3.75
20848,ZINC HEART LATTICE CHARGER SMALL,61.95,21,7,8,2.95
20851,ZINC HEART LATTICE TRAY OVAL ,53.550000000000004,9,5,7,5.95
20854,BLUE PATCH PURSE PINK HEART,252.79999999999998,164,16,17,1.5414634146341462
20856,DENIM PATCH PURSE PINK BUTTERFLY,231.0,140,26,27,1.65
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,52.8,32,7,8,1.65
20861,GOLD COSMETIC BAG PINK STAR,4.2,2,2,2,2.1
20866,BLUE ROSE FABRIC MIRROR,487.34,408,34,37,1.1944607843137254
20867,PINK ROSE FABRIC MIRROR,231.47,187,23,25,1.237807486631016
20868,SILVER FABRIC MIRROR,159.26000000000002,381,29,31,0.4180052493438321
20869,GOLD FABRIC MIRROR,54.21000000000001,139,17,17,0.39000000000000007
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,30.0,24,7,7,1.25
20886,BOX OF 9 PEBBLE CANDLES,851.4,452,56,77,1.8836283185840708
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,12.75,1,1,1,12.75
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,566.55,258,16,19,2.1959302325581396
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,73.75,25,9,9,2.95
20897,VINTAGE NOTEBOOK PARIS DAYS,230.35,85,8,8,2.71
20898,VINTAGE NOTEBOOK TRAVELOGUE,73.75,25,4,4,2.95
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,19.049999999999997,3,2,2,6.349999999999999
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,190.35,33,6,6,5.768181818181818
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,127.0,20,10,10,6.35
20906,VINTAGE NOTEBOOK BEAUTY GIRL,8.850000000000001,3,2,2,2.9500000000000006
20910,VINTAGE PHOTO ALBUM PARIS DAYS,50.8,8,2,3,6.35
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,16537.13,5871,356,763,2.8167484244592065
20914,SET/5 RED SPOTTY LID GLASS BOWLS,734.4,288,1,1,2.55
20931,BLUE POT PLANT CANDLE ,794.45,263,35,37,3.0207224334600764
20932,PINK POT PLANT CANDLE,516.25,189,22,22,2.7314814814814814
20933,YELLOW POT PLANT CANDLE,71.05,23,9,9,3.0891304347826085
20934,SET/3 POT PLANT CANDLES,294.3,54,20,20,5.45
20935,ROUND CACTUS CANDLE,17.700000000000003,6,4,4,2.9500000000000006
20936,FORKED CACTUS CANDLE,272.98,92,21,26,2.9671739130434784
20941,FROG CANDLE,76.25,61,13,17,1.25
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,913.63,728,51,59,1.2549862637362637
20961,STRAWBERRY BATH SPONGE ,1301.86,1026,82,127,1.268869395711501
20963,APPLE BATH SPONGE,1397.99,1100,83,122,1.2709
20964,POLYESTER FILLER PAD 60x40cm,5.1,2,1,1,2.55
20966,SANDWICH BATH SPONGE,698.25,589,28,41,1.185483870967742
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,960.0,256,63,75,3.75
20969,RED FLORAL FELTCRAFT SHOULDER BAG,6726.81,1874,157,257,3.589546424759872
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,3979.88,1080,141,230,3.685074074074074
20971,PINK BLUE FELT CRAFT TRINKET BOX,11619.39,10217,277,457,1.137260448272487
20972,PINK CREAM FELT CRAFT TRINKET BOX ,8617.24,7106,312,535,1.2126709822685056
20973,12 PENCIL SMALL TUBE WOODLAND,2545.3,3998,191,276,0.6366433216608305
20974,12 PENCILS SMALL TUBE SKULL,4230.55,6727,195,291,0.6288910361230861
20975,12 PENCILS SMALL TUBE RED RETROSPOT,4096.650000000001,6393,231,307,0.6408024401689348
20977,36 PENCILS TUBE WOODLAND,1969.43,1595,111,142,1.2347523510971787
20978,36 PENCILS TUBE SKULLS,2009.43,1627,133,179,1.2350522433927473
20979,36 PENCILS TUBE RED RETROSPOT,4227.26,3518,164,230,1.2016088686753839
20980,36 PENCILS TUBE POSY,33.75,27,10,11,1.25
20981,12 PENCILS TALL TUBE WOODLAND,1571.6499999999999,1849,157,208,0.85
20982,12 PENCILS TALL TUBE SKULLS,1705.6599999999999,2014,158,215,0.8469016881827209
20983,12 PENCILS TALL TUBE RED RETROSPOT,2240.31,2643,185,234,0.8476390465380249
20984,12 PENCILS TALL TUBE POSY,1161.1799999999998,3782,135,167,0.3070280274986779
20985,HEART CALCULATOR,1155.88,1013,65,87,1.1410463968410662
20986,BLUE CALCULATOR RULER,543.01,459,40,58,1.183028322440087
20992,JAZZ HEARTS PURSE NOTEBOOK,1845.87,4339,162,244,0.4254136897902742
20996,JAZZ HEARTS ADDRESS BOOK,648.12,3054,124,184,0.21222003929273084
20997,ROSE DU SUD CUSHION COVER ,74.25,15,4,5,4.95
20998,ROSE DU SUD OVEN GLOVE,348.25000000000006,119,27,28,2.9264705882352944
21000,ROSE DU SUD COSMETICS BAG,191.25,45,16,16,4.25
21001,ROSE DU SUD WASHBAG ,142.8,24,12,12,5.95
21002,ROSE DU SUD DRAWSTRING BAG,55.25,13,5,5,4.25
21003,ROSE DU SUD CUSHION COVER,82.55,13,6,6,6.35
21011,GLITTER SNOW PEAR TREE DECORATION,26.099999999999998,18,2,2,1.45
21012,ANTIQUE ALL GLASS CANDLESTICK,1129.1000000000001,565,66,80,1.998407079646018
21014,SWISS CHALET TREE DECORATION ,455.56999999999994,1233,64,66,0.36948094079480936
21015,DARK BIRD HOUSE TREE DECORATION,377.3299999999999,1249,59,66,0.30210568454763803
21018,BIRD BOX CHRISTMAS TREE DECORATION,18.7,22,4,4,0.85
21025,SPACE FROG,127.25,100,14,16,1.2725
21026,SPACE OWL,173.62,140,20,22,1.2401428571428572
21027,NINJA RABBIT PINK,119.95,99,16,17,1.2116161616161616
21028,NINJA RABBIT BLACK,148.29,116,15,21,1.278362068965517
21030,SPACE CADET RED,141.17,111,19,21,1.2718018018018016
21031,SPACE CADET BLACK,49.96,39,9,10,1.281025641025641
21032,SPACE CADET WHITE,83.63,64,13,15,1.30671875
21033,JUMBO BAG CHARLIE AND LOLA TOYS,1932.67,921,75,108,2.0984473398479913
21034,REX CASH+CARRY JUMBO SHOPPER,1740.3999999999999,1832,480,859,0.95
21035,SET/2 RED RETROSPOT TEA TOWELS ,6807.01,2315,151,219,2.940393088552916
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,86.75,77,20,23,1.1266233766233766
21039,RED RETROSPOT SHOPPING BAG,1284.6599999999999,510,57,77,2.518941176470588
21040,MODERN VINTAGE COTTON SHOPPING BAG,29.7,22,8,8,1.3499999999999999
21041,RED RETROSPOT OVEN GLOVE DOUBLE,1678.5500000000002,569,100,138,2.95
21042,RED RETROSPOT APRON ,1796.9,302,71,105,5.95
21043,APRON MODERN VINTAGE COTTON,927.9499999999999,441,52,57,2.1041950113378682
21051,RIBBONS PURSE ,228.83,108,23,24,2.1187962962962965
21054,NURSE'S BAG SOFT TOY,608.5999999999999,68,24,27,8.95
21055,TOOL BOX SOFT TOY ,1350.24,144,63,82,9.376666666666667
21056,DOCTOR'S BAG SOFT TOY,1640.1799999999998,174,46,66,9.426321839080458
21058,PARTY INVITES WOODLAND,853.2199999999999,1046,68,87,0.8156978967495219
21059,PARTY INVITES DINOSAURS,487.04999999999995,573,67,77,0.8499999999999999
21060,PARTY INVITES BALLOON GIRL,302.59999999999997,356,47,53,0.8499999999999999
21061,PARTY INVITES FOOTBALL,350.2,412,49,52,0.85
21062,PARTY INVITES SPACEMAN,425.0,500,55,61,0.85
21063,PARTY INVITES JAZZ HEARTS,412.10999999999996,483,64,81,0.8532298136645962
21064,BOOM BOX SPEAKER BOYS,740.15,171,40,54,4.328362573099415
21065,BOOM BOX SPEAKER GIRLS,827.15,485,31,40,1.705463917525773
