CustomerID,TotalSales_Sum,Avg_Transaction_Value,Total_Items,First_Purchase,Last_Purchase,Unique_Purchase_Days,Country,Total_Transactions,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Customer_Lifetime_Days,Avg_Days_Between_Orders
12365,641.38,29.153636363636362,22,2011-02-21 13:51:00,2011-02-21 14:04:00,2,Cyprus,2,291,2,641.38,1,2,2,5,At Risk,0,0.0
12367,168.9,15.354545454545455,11,2011-12-05 16:48:00,2011-12-05 16:48:00,1,Denmark,1,4,1,168.9,4,1,1,6,At Risk,0,0.0
12370,3541.94,21.33698795180723,166,2010-12-14 12:58:00,2011-10-19 14:51:00,4,Cyprus,4,51,4,3541.94,3,3,4,10,Loyal Customers,309,77.25
12371,1887.96,29.96761904761905,63,2011-10-11 10:43:00,2011-10-26 10:16:00,2,Switzerland,2,45,2,1887.96,3,2,4,9,Loyal Customers,14,7.0
12372,1298.04,24.962307692307693,52,2011-02-16 12:46:00,2011-09-29 12:12:00,3,Denmark,3,72,3,1298.04,2,3,3,8,Potential Loyalists,224,74.66666666666667
12373,364.6,26.042857142857144,14,2011-02-01 13:10:00,2011-02-01 13:10:00,1,Austria,1,311,1,364.6,1,1,2,4,Cannot Lose,0,0.0
12374,742.9300000000001,22.513030303030305,33,2011-11-14 15:37:00,2011-11-14 15:37:00,1,Austria,1,25,1,742.9300000000001,3,1,3,7,Potential Loyalists,0,0.0
12375,457.5,26.91176470588235,17,2011-09-02 14:23:00,2011-11-29 10:36:00,2,Finland,2,11,2,457.5,4,2,2,8,Potential Loyalists,87,43.5
12377,1628.12,21.144415584415583,77,2010-12-20 09:37:00,2011-01-28 15:45:00,2,Switzerland,2,315,2,1628.12,1,2,3,6,At Risk,39,19.5
12378,4008.62,18.30420091324201,219,2011-08-02 10:34:00,2011-08-02 10:34:00,1,Switzerland,1,130,1,4008.62,2,1,4,7,Potential Loyalists,0,0.0
12379,852.24,21.306,40,2011-06-22 16:32:00,2011-09-19 10:09:00,2,Belgium,2,82,2,852.24,2,2,3,7,Potential Loyalists,88,44.0
12380,2724.81,26.200096153846154,104,2011-06-07 09:49:00,2011-11-18 11:27:00,4,Belgium,4,22,4,2724.81,3,3,4,10,Loyal Customers,164,41.0
12381,1845.31,21.21045977011494,87,2011-08-12 09:57:00,2011-12-05 12:44:00,5,Norway,5,5,5,1845.31,4,3,4,11,Champians,115,23.0
12383,1850.56,18.69252525252525,99,2010-12-22 14:28:00,2011-06-08 08:02:00,5,Belgium,5,185,5,1850.56,1,3,4,8,Potential Loyalists,167,33.4
12384,585.27,21.676666666666666,27,2011-08-10 11:23:00,2011-11-11 08:39:00,2,Switzerland,2,29,2,585.27,3,2,2,7,Potential Loyalists,92,46.0
12386,401.9,40.19,10,2010-12-08 09:53:00,2011-01-06 12:37:00,2,Australia,2,338,2,401.9,1,2,2,5,At Risk,29,14.5
12388,2780.66,27.8066,100,2011-01-17 11:12:00,2011-11-24 12:30:00,6,Australia,6,16,6,2780.66,4,4,4,12,Champians,311,51.833333333333336
12390,549.84,17.1825,32,2011-09-21 09:33:00,2011-09-21 09:33:00,1,Belgium,1,80,1,549.84,2,1,2,5,At Risk,0,0.0
12391,439.66,4.72752688172043,93,2011-11-18 12:07:00,2011-11-18 12:07:00,1,Cyprus,1,22,1,439.66,3,1,2,6,At Risk,0,0.0
12393,1582.6000000000001,24.728125000000002,64,2011-01-11 09:47:00,2011-09-28 15:41:00,4,Australia,4,72,4,1582.6000000000001,2,3,3,8,Potential Loyalists,260,65.0
12394,1272.48,47.12888888888889,27,2011-05-06 14:01:00,2011-10-07 08:08:00,2,Belgium,2,64,2,1272.48,2,2,3,7,Potential Loyalists,153,76.5
12395,3018.63,19.350192307692307,156,2010-12-03 16:35:00,2011-11-20 15:21:00,12,Belgium,12,19,12,3018.63,3,4,4,11,Champians,351,29.25
12397,2409.9,19.126190476190477,126,2011-07-27 14:21:00,2011-11-04 09:52:00,2,Belgium,2,36,2,2409.9,3,2,4,9,Loyal Customers,99,49.5
12398,1635.6599999999999,19.24305882352941,85,2011-10-25 10:27:00,2011-10-25 10:27:00,1,Switzerland,1,46,1,1635.6599999999999,3,1,3,7,Potential Loyalists,0,0.0
12399,1108.65,18.790677966101697,59,2011-03-23 09:42:00,2011-08-12 13:15:00,4,Belgium,4,119,4,1108.65,2,3,3,8,Potential Loyalists,142,35.5
12401,84.3,16.86,5,2011-02-09 13:50:00,2011-02-09 13:50:00,1,Belgium,1,303,1,84.3,1,1,1,3,Cannot Lose,0,0.0
12402,225.6,20.509090909090908,11,2011-01-20 13:49:00,2011-01-20 13:49:00,1,Belgium,1,323,1,225.6,1,1,1,3,Cannot Lose,0,0.0
12403,427.7,85.53999999999999,5,2011-10-21 10:51:00,2011-10-21 10:51:00,1,Denmark,1,50,1,427.7,3,1,2,6,At Risk,0,0.0
12405,1710.39,31.67388888888889,54,2011-07-14 08:52:00,2011-07-14 08:52:00,1,Finland,1,149,1,1710.39,1,1,4,6,At Risk,0,0.0
12406,3415.3,32.52666666666667,105,2011-06-09 10:23:00,2011-11-17 19:22:00,2,Denmark,2,22,2,3415.3,3,2,4,9,Loyal Customers,161,80.5
12407,1708.1200000000001,22.183376623376624,77,2011-03-20 13:21:00,2011-10-21 10:11:00,5,Belgium,5,50,5,1708.1200000000001,3,3,4,10,Loyal Customers,214,42.8
12408,2888.55,27.51,105,2011-03-24 14:46:00,2011-11-07 12:27:00,5,Belgium,5,33,5,2888.55,3,3,4,10,Loyal Customers,227,45.4
12409,11072.67,101.58412844036697,109,2011-06-10 12:19:00,2011-09-22 10:38:00,3,Switzerland,3,79,3,11072.67,2,3,4,9,Loyal Customers,103,34.333333333333336
12410,693.3299999999999,26.666538461538458,26,2011-02-04 10:38:00,2011-02-04 10:39:00,2,Switzerland,2,309,2,693.3299999999999,1,2,3,6,At Risk,0,0.0
12412,1226.88,20.112786885245903,61,2011-06-23 13:51:00,2011-09-26 10:16:00,3,Denmark,3,75,3,1226.88,2,3,3,8,Potential Loyalists,94,31.333333333333332
12413,758.1,19.95,38,2011-01-06 16:12:00,2011-10-04 09:00:00,3,France,3,67,3,758.1,2,3,3,8,Potential Loyalists,270,90.0
12414,562.41,31.244999999999997,18,2011-02-02 14:51:00,2011-05-06 14:51:00,3,Austria,3,217,3,562.41,1,3,2,6,At Risk,93,31.0
12415,124914.53,174.95032212885152,714,2011-01-06 11:12:00,2011-11-15 14:22:00,20,Australia,21,24,21,124914.53,3,4,4,11,Champians,313,14.904761904761905
12417,3649.1,19.005729166666665,192,2010-12-17 11:51:00,2011-12-06 14:52:00,9,Belgium,9,3,9,3649.1,4,4,4,12,Champians,354,39.333333333333336
12418,668.58,19.664117647058823,34,2011-08-19 11:08:00,2011-08-19 11:08:00,1,Switzerland,1,113,1,668.58,2,1,3,6,At Risk,0,0.0
12420,600.39,20.70310344827586,29,2011-10-07 08:55:00,2011-10-07 08:55:00,1,Cyprus,1,64,1,600.39,2,1,2,5,At Risk,0,0.0
12421,807.04,17.93422222222222,45,2011-01-24 15:09:00,2011-11-24 09:07:00,4,Spain,4,16,4,807.04,4,3,3,10,Loyal Customers,303,75.75
12422,803.5600000000001,20.604102564102565,39,2011-01-19 09:13:00,2011-09-05 09:48:00,3,Australia,3,96,3,803.5600000000001,2,3,3,8,Potential Loyalists,229,76.33333333333333
12423,1859.31,14.87448,125,2010-12-21 10:54:00,2011-12-09 10:10:00,8,Belgium,8,1,8,1859.31,4,4,4,12,Champians,352,44.0
12424,1760.96,58.69866666666667,30,2011-06-30 12:06:00,2011-06-30 12:06:00,1,Australia,2,163,2,1760.96,1,2,4,7,Potential Loyalists,0,0.0
12425,777.2,21.58888888888889,36,2011-09-22 17:31:00,2011-09-22 17:31:00,1,Portugal,1,78,1,777.2,2,1,3,6,At Risk,0,0.0
12426,582.73,19.424333333333333,30,2011-05-29 12:26:00,2011-05-29 12:26:00,1,Germany,1,195,1,582.73,1,1,2,4,Cannot Lose,0,0.0
12427,825.8,26.638709677419353,31,2010-12-03 10:44:00,2011-11-18 08:56:00,3,Germany,3,22,3,825.8,3,3,3,9,Loyal Customers,349,116.33333333333333
12428,7956.46,27.062789115646257,294,2011-03-01 09:33:00,2011-11-14 08:22:00,9,Finland,9,26,9,7956.46,3,4,4,11,Champians,257,28.555555555555557
12429,3750.4,38.66391752577319,97,2010-12-09 12:05:00,2011-11-30 17:22:00,4,Denmark,4,9,4,3750.4,4,3,4,11,Champians,356,89.0
12430,256.4,23.30909090909091,11,2011-10-27 15:09:00,2011-10-27 15:09:00,1,Norway,1,43,1,256.4,3,1,1,5,At Risk,0,0.0
12431,6419.95,27.43568376068376,234,2010-12-01 10:03:00,2011-11-04 11:55:00,15,Australia,15,36,15,6419.95,3,4,4,11,Champians,338,22.533333333333335
12432,5059.32,46.845555555555556,108,2011-06-20 13:27:00,2011-10-28 11:43:00,5,Norway,5,43,5,5059.32,3,3,4,10,Loyal Customers,129,25.8
12433,13375.87,31.847309523809525,420,2010-12-01 13:24:00,2011-12-09 10:02:00,7,Norway,7,1,7,13375.87,4,4,4,12,Champians,372,53.142857142857146
12434,806.14,16.122799999999998,50,2011-03-24 13:05:00,2011-09-16 12:38:00,2,Australia,2,85,2,806.14,2,2,3,7,Potential Loyalists,175,87.5
12435,7829.89,217.49694444444447,36,2011-03-17 07:40:00,2011-09-21 09:06:00,2,Denmark,2,80,2,7829.89,2,2,4,8,Potential Loyalists,188,94.0
12436,509.01,31.813125,16,2011-09-01 12:09:00,2011-09-01 12:09:00,1,Norway,1,100,1,509.01,2,1,2,5,At Risk,0,0.0
12437,4951.41,24.88145728643216,199,2011-01-12 14:13:00,2011-12-08 11:35:00,18,France,18,2,18,4951.41,4,4,4,12,Champians,329,18.27777777777778
12438,2906.85,29.66173469387755,98,2011-07-22 13:29:00,2011-11-25 13:28:00,2,Norway,2,14,2,2906.85,4,2,4,10,Loyal Customers,125,62.5
12441,173.55,15.77727272727273,11,2010-12-08 10:45:00,2010-12-08 10:45:00,1,France,1,367,1,173.55,1,1,1,3,Cannot Lose,0,0.0
12442,172.06,14.338333333333333,12,2011-12-06 14:22:00,2011-12-06 14:22:00,1,Spain,1,3,1,172.06,4,1,1,6,At Risk,0,0.0
12444,5005.46,28.440113636363638,176,2011-06-21 14:00:00,2011-11-18 13:23:00,5,Norway,5,21,5,5005.46,3,3,4,10,Loyal Customers,149,29.8
12445,133.4,33.35,4,2011-11-17 18:43:00,2011-11-17 18:43:00,1,Spain,1,22,1,133.4,3,1,1,5,At Risk,0,0.0
12446,1002.3100000000001,17.584385964912283,57,2011-10-13 12:50:00,2011-10-13 12:50:00,1,RSA,1,58,1,1002.3100000000001,2,1,3,6,At Risk,0,0.0
12447,476.49,18.326538461538462,26,2011-04-10 13:25:00,2011-04-10 13:25:00,1,Belgium,1,243,1,476.49,1,1,2,4,Cannot Lose,0,0.0
12448,449.45,20.429545454545455,22,2011-10-26 13:46:00,2011-10-26 13:46:00,1,Spain,1,44,1,449.45,3,1,2,6,At Risk,0,0.0
12449,4067.29,21.294712041884818,191,2011-06-05 15:37:00,2011-11-17 13:46:00,4,Belgium,4,22,4,4067.29,3,3,4,10,Loyal Customers,164,41.0
12450,197.88,24.735,8,2011-06-19 14:36:00,2011-07-06 14:41:00,2,Spain,2,156,2,197.88,1,2,1,4,Cannot Lose,17,8.5
12451,9035.52,25.524067796610172,354,2011-01-19 09:05:00,2011-11-29 08:40:00,5,Switzerland,5,11,5,9035.52,4,3,4,11,Champians,313,62.6
12452,430.57,19.571363636363635,22,2011-11-23 08:05:00,2011-11-23 10:28:00,2,Switzerland,2,17,2,430.57,4,2,2,8,Potential Loyalists,0,0.0
12453,707.09,16.443953488372095,43,2011-07-28 14:08:00,2011-07-28 14:08:00,1,Austria,1,134,1,707.09,2,1,3,6,At Risk,0,0.0
12454,3528.34,235.22266666666667,15,2011-10-14 17:13:00,2011-10-14 17:13:00,1,Spain,1,56,1,3528.34,2,1,4,7,Potential Loyalists,0,0.0
12455,2466.86,27.409555555555556,90,2011-02-16 09:56:00,2011-09-27 15:31:00,6,Cyprus,6,73,6,2466.86,2,4,4,10,Loyal Customers,223,37.166666666666664
12456,3181.04,25.44832,125,2011-03-30 09:12:00,2011-10-26 14:41:00,3,Switzerland,3,44,3,3181.04,3,3,4,10,Loyal Customers,210,70.0
12457,2363.23,38.11661290322581,62,2011-04-14 18:57:00,2011-10-04 13:13:00,7,Switzerland,7,66,7,2363.23,2,4,4,10,Loyal Customers,172,24.571428571428573
12458,947.4,24.931578947368422,38,2011-02-28 10:55:00,2011-09-29 15:25:00,2,Switzerland,2,71,2,947.4,2,2,3,7,Potential Loyalists,213,106.5
12461,826.88,23.62514285714286,35,2011-07-08 10:23:00,2011-09-06 16:57:00,2,Switzerland,2,94,2,826.88,2,2,3,7,Potential Loyalists,60,30.0
12462,1189.59,19.186935483870965,62,2011-02-09 14:44:00,2011-11-21 09:11:00,2,Spain,2,19,2,1189.59,3,2,3,8,Potential Loyalists,284,142.0
12463,1344.78,16.202168674698793,83,2011-04-12 12:47:00,2011-10-17 13:44:00,4,Belgium,4,53,4,1344.78,2,3,3,8,Potential Loyalists,188,47.0
12464,1212.05,41.79482758620689,29,2011-02-03 13:30:00,2011-11-29 13:33:00,8,Belgium,8,10,8,1212.05,4,4,3,11,Champians,299,37.375
12465,742.1899999999999,15.79127659574468,47,2011-06-23 13:37:00,2011-11-22 16:34:00,2,Belgium,2,17,2,742.1899999999999,4,2,3,9,Loyal Customers,152,76.0
12468,729.5400000000001,19.19842105263158,38,2011-01-27 13:29:00,2011-06-05 11:36:00,2,Germany,2,188,2,729.5400000000001,1,2,3,6,At Risk,128,64.0
12471,19788.65,43.11252723311547,459,2010-12-10 09:35:00,2011-12-07 15:43:00,30,Germany,30,2,30,19788.65,4,4,4,12,Champians,362,12.066666666666666
12472,6572.11,19.386755162241887,339,2010-12-05 14:19:00,2011-11-07 14:01:00,7,Germany,7,32,7,6572.11,3,4,4,11,Champians,336,48.0
12473,3928.0499999999997,23.52125748502994,167,2011-06-01 10:15:00,2011-11-10 13:46:00,5,Germany,5,29,5,3928.0499999999997,3,3,4,10,Loyal Customers,162,32.4
12474,7324.09,17.355663507109004,422,2011-01-14 10:06:00,2011-11-22 14:39:00,18,Germany,18,17,18,7324.09,4,4,4,12,Champians,312,17.333333333333332
12475,723.38,20.093888888888888,36,2011-10-17 10:10:00,2011-10-17 10:10:00,1,Germany,1,54,1,723.38,2,1,3,6,At Risk,0,0.0
12476,6816.42,29.255021459227468,233,2010-12-13 14:39:00,2011-11-24 12:40:00,11,Germany,11,16,11,6816.42,4,4,4,12,Champians,345,31.363636363636363
12477,13219.74,44.065799999999996,300,2011-02-11 12:45:00,2011-11-17 09:51:00,6,Germany,6,23,6,13219.74,3,4,4,11,Champians,278,46.333333333333336
12478,680.99,18.91638888888889,36,2011-12-06 09:56:00,2011-12-06 09:56:00,1,Greece,1,4,1,680.99,4,1,3,8,Potential Loyalists,0,0.0
12479,527.2,17.006451612903227,31,2011-11-28 13:26:00,2011-11-28 13:26:00,1,Germany,1,11,1,527.2,4,1,2,7,Potential Loyalists,0,0.0
12480,3281.63,21.309285714285714,154,2011-01-07 15:27:00,2011-11-11 14:52:00,4,Germany,4,28,4,3281.63,3,3,4,10,Loyal Customers,307,76.75
12481,5579.82,25.8325,216,2010-12-09 10:13:00,2011-11-17 08:29:00,10,Germany,10,23,10,5579.82,3,4,4,11,Champians,342,34.2
12483,2484.98,33.133066666666664,75,2011-01-04 14:20:00,2011-11-22 17:02:00,8,Sweden,8,17,8,2484.98,4,4,4,12,Champians,322,40.25
12484,4527.32,13.199183673469387,343,2011-01-07 14:04:00,2011-11-07 11:37:00,6,Spain,6,33,6,4527.32,3,4,4,11,Champians,303,50.5
12488,1298.66,23.612000000000002,55,2011-09-25 10:34:00,2011-11-30 08:50:00,3,France,3,10,3,1298.66,4,3,3,10,Loyal Customers,65,21.666666666666668
12489,334.93,22.328666666666667,15,2011-01-07 13:13:00,2011-01-07 13:13:00,1,France,1,336,1,334.93,1,1,2,4,Cannot Lose,0,0.0
12490,5417.93,22.114,245,2011-01-14 09:13:00,2011-12-04 16:07:00,10,France,10,5,10,5417.93,4,4,4,12,Champians,324,32.4
12491,460.40000000000003,17.70769230769231,26,2011-11-01 12:18:00,2011-11-01 12:18:00,1,France,1,39,1,460.40000000000003,3,1,2,6,At Risk,0,0.0
12492,263.21000000000004,13.160500000000003,20,2011-08-26 14:51:00,2011-10-07 15:15:00,2,Germany,2,63,2,263.21000000000004,2,2,1,5,At Risk,42,21.0
12493,433.74,19.715454545454545,22,2011-05-26 14:53:00,2011-06-27 10:17:00,2,France,2,166,2,433.74,1,2,2,5,At Risk,31,15.5
12494,1246.1000000000001,16.183116883116885,77,2010-12-09 11:31:00,2011-11-24 09:34:00,7,France,7,16,7,1246.1000000000001,4,4,3,11,Champians,349,49.857142857142854
12497,1043.1,74.50714285714285,14,2011-09-19 12:29:00,2011-09-19 12:29:00,1,Germany,1,82,1,1043.1,2,1,3,6,At Risk,0,0.0
12498,403.70000000000005,17.55217391304348,23,2011-10-13 09:30:00,2011-11-18 12:53:00,3,Germany,3,21,3,403.70000000000005,3,3,2,8,Potential Loyalists,36,12.0
12500,4257.82,69.80032786885245,61,2011-01-10 09:48:00,2011-11-16 16:20:00,11,Germany,11,23,11,4257.82,3,4,4,11,Champians,310,28.181818181818183
12501,2169.39,14.559664429530201,149,2011-01-07 12:28:00,2011-01-07 12:28:00,1,Germany,1,337,1,2169.39,1,1,4,6,At Risk,0,0.0
12502,3723.87,25.332448979591835,147,2011-02-03 10:41:00,2011-09-05 11:52:00,5,Spain,5,96,5,3723.87,2,3,4,9,Loyal Customers,214,42.8
12504,482.04999999999995,53.5611111111111,9,2011-11-09 14:56:00,2011-11-21 16:02:00,2,Germany,2,18,2,482.04999999999995,4,2,2,8,Potential Loyalists,12,6.0
12506,73.5,3.1956521739130435,23,2011-04-21 08:54:00,2011-04-21 08:54:00,1,France,1,233,1,73.5,1,1,1,3,Cannot Lose,0,0.0
12507,1304.81,62.13380952380952,21,2011-02-14 09:24:00,2011-07-28 17:09:00,3,Spain,3,134,3,1304.81,2,3,3,8,Potential Loyalists,164,54.666666666666664
12508,397.88,5.851176470588236,68,2011-11-10 16:27:00,2011-11-13 15:37:00,2,France,2,26,2,397.88,3,2,2,7,Potential Loyalists,2,1.0
12509,176.5,25.214285714285715,7,2011-02-28 14:45:00,2011-02-28 14:45:00,1,France,1,284,1,176.5,1,1,1,3,Cannot Lose,0,0.0
12510,982.5699999999999,29.774848484848484,33,2011-01-18 14:04:00,2011-07-20 10:15:00,2,Spain,2,143,2,982.5699999999999,1,2,3,6,At Risk,182,91.0
12512,132.18,4.263870967741935,31,2011-10-04 14:53:00,2011-10-04 14:55:00,2,Israel,2,66,2,132.18,2,2,1,5,At Risk,0,0.0
12513,612.29,17.494,35,2011-08-19 10:51:00,2011-08-19 10:51:00,1,France,1,113,1,612.29,2,1,2,5,At Risk,0,0.0
12514,1017.68,19.954509803921567,51,2011-03-17 16:38:00,2011-03-17 16:38:00,1,Italy,1,267,1,1017.68,1,1,3,5,At Risk,0,0.0
12515,383.7,23.98125,16,2010-12-21 15:43:00,2010-12-21 15:43:00,1,Italy,1,353,1,383.7,1,1,2,4,Cannot Lose,0,0.0
12516,1312.06,50.46384615384615,26,2011-06-12 11:37:00,2011-09-23 09:13:00,2,Germany,2,78,2,1312.06,2,2,3,7,Potential Loyalists,102,51.0
12517,2481.6,8.894623655913978,279,2011-06-02 15:13:00,2011-11-11 14:04:00,5,Germany,5,28,5,2481.6,3,3,4,10,Loyal Customers,161,32.2
12518,2056.89,16.58782258064516,124,2011-08-21 13:18:00,2011-12-09 10:13:00,5,Germany,5,1,5,2056.89,4,3,4,11,Champians,109,21.8
12519,330.84,19.461176470588235,17,2011-10-07 09:26:00,2011-10-07 09:26:00,1,Germany,1,64,1,330.84,2,1,2,5,At Risk,0,0.0
12520,2634.26,17.330657894736845,152,2011-03-11 11:35:00,2011-09-21 15:23:00,5,Germany,5,79,5,2634.26,2,3,4,9,Loyal Customers,194,38.8
12521,599.68,15.781052631578946,38,2011-07-20 10:51:00,2011-07-20 10:51:00,1,Germany,1,143,1,599.68,1,1,2,4,Cannot Lose,0,0.0
12522,192.72,16.06,12,2011-10-19 14:41:00,2011-10-31 15:30:00,2,Germany,2,39,2,192.72,3,2,1,6,At Risk,12,6.0
12523,1789.77,16.884622641509434,106,2011-01-12 09:43:00,2011-11-20 12:55:00,11,France,11,19,11,1789.77,3,4,4,11,Champians,312,28.363636363636363
12524,4485.72,31.150833333333335,144,2011-01-10 10:35:00,2011-11-30 15:31:00,8,Germany,8,9,8,4485.72,4,4,4,12,Champians,324,40.5
12526,1316.66,18.54450704225352,71,2011-09-06 14:19:00,2011-12-09 12:09:00,3,Germany,3,1,3,1316.66,4,3,3,10,Loyal Customers,93,31.0
12527,348.71000000000004,19.37277777777778,18,2011-01-18 12:05:00,2011-09-19 11:55:00,3,Germany,3,82,3,348.71000000000004,2,3,2,7,Potential Loyalists,243,81.0
12528,1933.48,21.01608695652174,92,2011-01-31 09:05:00,2011-11-30 14:40:00,6,Germany,6,9,6,1933.48,4,4,4,12,Champians,303,50.5
12530,1662.28,25.186060606060607,66,2011-01-07 10:04:00,2011-10-11 12:34:00,4,Germany,4,60,4,1662.28,2,3,4,9,Loyal Customers,277,69.25
12531,125.22,7.365882352941177,17,2011-11-25 11:12:00,2011-11-25 11:12:00,1,Germany,1,15,1,125.22,4,1,1,6,At Risk,0,0.0
12532,349.83000000000004,21.864375000000003,16,2011-11-09 13:47:00,2011-11-09 13:47:00,1,France,1,30,1,349.83000000000004,3,1,2,6,At Risk,0,0.0
12534,1089.18,17.28857142857143,63,2011-08-01 10:26:00,2011-08-01 10:26:00,1,Germany,1,131,1,1089.18,2,1,3,6,At Risk,0,0.0
12535,716.35,21.069117647058825,34,2011-06-06 12:47:00,2011-09-09 08:48:00,2,France,2,92,2,716.35,2,2,3,7,Potential Loyalists,94,47.0
12536,12601.830000000002,48.282873563218395,261,2011-10-11 14:52:00,2011-10-27 14:20:00,3,France,3,43,3,12601.830000000002,3,3,4,10,Loyal Customers,15,5.0
12538,363.95,17.33095238095238,21,2011-11-10 17:16:00,2011-11-10 17:16:00,1,Spain,1,29,1,363.95,3,1,2,6,At Risk,0,0.0
12539,5568.35,20.396886446886448,273,2011-01-10 09:11:00,2011-11-17 13:30:00,4,Spain,4,22,4,5568.35,3,3,4,10,Loyal Customers,311,77.75
12540,13400.24,28.03397489539749,478,2010-12-13 09:39:00,2011-11-20 11:31:00,17,Spain,17,20,17,13400.24,3,4,4,11,Champians,342,20.11764705882353
12541,981.18,18.868846153846153,52,2011-03-04 09:32:00,2011-11-10 10:40:00,3,Spain,3,30,3,981.18,3,3,3,9,Loyal Customers,251,83.66666666666667
12544,372.7,19.61578947368421,19,2011-11-03 16:15:00,2011-11-03 16:15:00,1,Spain,1,36,1,372.7,3,1,2,6,At Risk,0,0.0
12545,1000.39,20.0078,50,2011-03-25 12:04:00,2011-09-25 13:39:00,2,Spain,2,75,2,1000.39,2,2,3,7,Potential Loyalists,184,92.0
12546,1161.5,16.833333333333332,69,2011-09-23 09:44:00,2011-10-24 12:09:00,2,Spain,2,47,2,1161.5,3,2,3,8,Potential Loyalists,31,15.5
12547,207.79999999999998,25.974999999999998,8,2011-03-04 12:46:00,2011-05-26 12:38:00,2,Spain,2,198,2,207.79999999999998,1,2,1,4,Cannot Lose,82,41.0
12548,95.19999999999999,19.04,5,2011-06-26 15:35:00,2011-06-26 15:35:00,1,Spain,1,166,1,95.19999999999999,1,1,1,3,Cannot Lose,0,0.0
12550,964.83,16.92684210526316,57,2011-09-21 14:35:00,2011-09-21 14:35:00,1,Spain,1,79,1,964.83,2,1,3,6,At Risk,0,0.0
12551,168.0,16.8,10,2010-12-17 11:23:00,2010-12-17 11:23:00,1,Spain,1,358,1,168.0,1,1,1,3,Cannot Lose,0,0.0
12552,437.82,21.891,20,2011-10-31 12:11:00,2011-11-01 10:02:00,2,Italy,2,39,2,437.82,3,2,2,7,Potential Loyalists,0,0.0
12553,3692.28,19.33130890052356,191,2011-01-14 10:42:00,2011-12-01 16:38:00,10,France,10,8,10,3692.28,4,4,4,12,Champians,321,32.1
